"Player","Nation","Pos","Squad","Comp","Age","Born","MP","Starts","Min","90s","Gls","Ast","G-PK","PK","PKatt","CrdY","CrdR","G+A","G+A-PK","xG","npxG","xA","npxG+xA","xG+xA","Sh","SoT","Sh/90","SoT/90","FK","G-xG","np:G-xG","Cmp","Att","Cmp%","TotDist","PrgDist","Cmp.1","A-xA","KP","1/3","PPA","CrsPA","Prog","Live","Dead","TB","Press","Sw","Crs","CK","In","Out","Str","Ground","Low","High","Left","Right","Head","TI","Other","Off","Int","Blocks","SCA","SCA90","PassLive","PassDead","Drib","Fld","Def","GCA","GCA90","Tkl","TklW","Def 3rd","Mid 3rd","Att 3rd","Past","Succ","ShSv","Pass","Tkl+Int","Clr","Err","Touches","Def Pen","Att Pen","#Pl","Megs","Carries","CPA","Mis","Dis","Targ","Rec","Rec%","Prog.1","Mn/MP","Min%","Subs","unSub","PPM","onG","onGA","+/-","+/-90","onxG","onxGA","xG+/-","xG+/-90","2CrdY","Fls","PKwon","PKcon","OG","Recov","Won","Lost"
"Karim GuÃ©dÃ©","sk SVK","FW","Freiburg","de Bundesliga","32","1985","2","1","60","0.7","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","5","11","45.5","59","0","3","0.0","0","0","0","0","0","11","0","0","2","0","0","0","0","0","0","8","2","1","1","8","1","0","1","1","0","0","2","3.00","1","0","0","1","0","0","0.00","1","1","1","0","0","0","5","0","0","1","1","0","18","3","0","1","0","12","0","0","2","32","14","43.8","5","30","2.0","1","6","0.50","0","2","-2","-3.00","0.1","1.9","-1.8","-2.76","0","1","0","0","0","1","0","2"
"Kasey Palmer","jm JAM","MF,FW","Huddersfield","eng Premier League","20","1996","4","1","170","1.9","0","0","0","0","0","2","0","0.00","0.00","0.1","0.1","0.0","0.1","0.05","2","1","1.06","0.53","0","-0.1","-0.1","42","58","72.4","690","199","27","0.0","1","4","1","0","5","53","5","1","10","4","0","3","1","0","1","40","7","11","5","45","4","1","1","0","3","2","4","2.12","2","1","0","0","0","0","0.00","6","3","1","4","1","2","15","0","7","6","1","0","84","2","2","1","0","45","1","3","7","71","55","77.5","7","43","5.0","3","0","1.75","2","2","0","0.00","1.9","2.4","-0.6","-0.29","0","4","0","0","0","11","2","9"
"Kaylen Hinds","eng ENG","MF,FW","Wolfsburg","de Bundesliga","19","1998","1","1","90","1.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","7","12","58.3","105","29","4","0.0","0","1","0","0","2","12","0","0","1","0","1","0","0","0","0","7","2","3","1","7","4","0","0","0","0","1","0","0.00","0","0","0","0","0","0","0.00","1","1","1","0","0","1","5","0","1","2","0","0","20","0","0","0","0","11","0","1","2","30","10","33.3","4","90","2.9","0","4","0.00","0","3","-3","-3.00","0.5","1.1","-0.6","-0.59","0","0","0","0","0","5","0","2"
"Kolbeinn SigÃ¾Ã³rsson","is ISL","FW","Nantes","fr Ligue 1","27","1990","2","0","25","0.3","0","0","0","0","0","0","0","0.00","0.00","0.1","0.1","0.0","0.1","0.44","1","0","3.60","0.00","0","-0.1","-0.1","5","8","62.5","69","1","3","0.0","0","0","0","0","0","8","0","0","1","0","0","0","0","0","0","4","2","2","1","4","1","0","1","0","0","1","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","1","0","0","12","0","2","1","0","9","0","1","1","16","11","68.8","4","13","0.7","2","1","3.00","0","0","0","0.00","0.1","0.2","-0.1","-0.41","0","0","0","0","0","0","2","2"
"Konstantin Rausch","ru RUS","DF","KÃ¶ln","de Bundesliga","27","1990","12","11","925","10.3","0","1","0","0","0","3","0","0.10","0.10","0.5","0.5","0.3","0.8","0.08","12","1","1.17","0.10","2","-0.5","-0.5","383","567","67.5","7510","3632","151","+0.7","8","31","7","3","29","410","157","1","85","19","31","22","1","2","1","263","125","179","358","48","39","116","2","1","11","27","21","2.04","14","3","2","0","0","1","0.10","18","10","12","5","1","13","35","1","12","26","21","0","663","43","13","4","0","348","1","7","7","345","298","86.4","18","77","30.2","1","4","0.50","7","14","-7","-0.68","14.9","20.2","-5.3","-0.52","0","11","0","1","0","136","5","7"
"Kyle Naughton","eng ENG","DF","Swansea City","eng Premier League","28","1988","34","34","3030","33.7","0","2","0","0","0","1","0","0.06","0.06","0.3","0.3","0.4","0.7","0.02","12","1","0.36","0.03","0","-0.3","-0.3","1550","2081","74.5","27238","12363","756","+1.6","11","149","16","6","168","1659","422","1","303","33","42","0","0","0","0","1059","489","533","109","1448","68","402","5","5","74","65","30","0.89","26","0","2","0","1","3","0.09","103","55","58","40","5","56","184","0","89","180","129","1","2557","159","26","35","4","1362","8","25","32","1519","1355","89.2","64","89","88.6","0","1","0.94","26","50","-24","-0.71","24.5","53.4","-29.0","-0.86","0","31","0","0","1","336","78","75"
"Kyriakos Papadopoulos","gr GRE","DF","Hamburger SV","de Bundesliga","25","1992","29","29","2610","29.0","1","1","1","0","0","12","1","0.07","0.07","1.5","1.5","0.5","2.0","0.07","27","5","0.93","0.17","1","-0.5","-0.5","892","1183","75.4","20268","8226","222","+0.5","5","80","5","0","107","1105","78","0","192","30","1","0","0","0","0","659","169","355","91","883","127","2","24","6","11","23","13","0.45","10","0","0","0","0","1","0.03","58","38","39","19","0","43","88","0","28","88","212","1","1583","220","52","4","0","714","0","6","2","739","702","95.0","40","90","85.3","0","1","1.03","25","43","-18","-0.62","32.6","43.5","-10.9","-0.38","1","36","0","1","0","401","129","51"
"KÃ©vin BÃ©rigaud","fr FRA","MF,FW","Montpellier","fr Ligue 1","29","1988","5","4","271","3.0","0","0","0","0","0","0","0","0.00","0.00","0.7","0.7","0.8","1.5","0.50","4","0","1.33","0.00","0","-0.7","-0.7","57","72","79.2","842","213","34","-0.8","6","5","3","0","10","71","1","0","19","1","1","0","0","0","0","54","9","9","5","58","6","0","0","0","4","3","11","3.65","11","0","0","0","0","2","0.66","4","0","1","1","2","3","10","0","0","5","1","0","98","1","9","1","0","57","1","8","2","127","80","63.0","29","54","7.9","1","4","1.00","2","3","-1","-0.33","2.7","3.4","-0.7","-0.24","0","3","0","0","0","10","3","3"
"KÃ©vin ThÃ©ophile-Catherine","fr FRA","DF","Saint-Ãtienne","fr Ligue 1","27","1989","25","24","2165","24.1","0","0","0","0","0","6","0","0.00","0.00","0.5","0.5","0.3","0.9","0.04","4","0","0.17","0.00","0","-0.5","-0.5","898","1107","81.1","19513","6986","254","-0.3","4","76","6","1","70","1073","34","2","105","30","2","0","0","0","0","810","45","252","114","905","58","19","1","5","22","13","15","0.62","12","2","0","0","0","2","0.08","34","24","23","10","1","12","75","1","15","58","96","3","1321","155","9","14","0","887","0","8","9","827","803","97.1","7","87","63.3","1","8","1.48","27","34","-7","-0.29","31.1","36.0","-4.9","-0.20","0","24","0","2","0","227","15","7"
"Lacina TraorÃ©","ci CIV","FW","Amiens","fr Ligue 1","27","1990","18","8","779","8.7","0","2","0","0","0","1","0","0.23","0.23","1.8","1.8","0.7","2.5","0.29","11","3","1.27","0.35","0","-1.8","-1.8","114","212","53.8","1888","432","59","+1.3","10","10","5","1","13","207","5","0","70","3","5","0","0","0","0","85","49","78","97","21","63","0","1","0","7","11","19","2.20","14","0","1","3","1","4","0.46","12","8","2","4","6","5","26","0","2","15","18","0","339","22","39","6","0","174","0","35","18","427","244","57.1","103","43","22.8","10","2","1.39","10","8","+2","+0.23","9.0","10.6","-1.7","-0.19","0","24","1","0","0","37","31","23"
